Customer,Street1,City,State,Zip,Latitude,Longitude,Website
Alta Florist & Greenhouse,935 South Home Road,Mansfield,OH,44906,,,www.altagreenhouse.com
Artco Crafts,5401-401 6th Avenue,Tacoma,WA,98406,,,www.artcocrafts.com
Blue Point Grille,700 W Saint Clair Ave,Cleveland,OH,44113,,,www.bluepointegrill.com
Blumz by JR Designs,503 E. Nine Mile Road,Ferndale,MI,48220,,,www.blumz.com
Breezy Hill Nursery,7530 288th Avenue,Salem,WI,53168,,,www.breezyhillnursery.com
Burritt on the Mountain,3101 Burritt Drive,Huntsville,AL,35801,,,www.burrittonthemountain.com
Caniche,200 South Main Street,Salisbury,NC,28144,,,www.shopcaniche.com
Celebrate the Season,61430 Brosterhous Rd.,Bend,OR,97702,,,www.celebratetheseasonbend.com
Chips Wine Market,2200 North Croatan Hwy Unit D,Kill Devil Hills,NC,27948,,,www.chipswinemarket.com
Christian Gifts & More,1425 Cowsill Drive,Severin,MD,21144,,,
Circare,23024 Greater Mack,St. Clair Shores,MI,48080,,,www.circaregifts.com
Cork & Cask,8318 State Hwy 23W,St. Cloud,MN,56301,,,www.corkandcask.com
Country Floral,1111 2nd Avenue W,Wiliston,ND,58801,,,www.countryfloralgreenhouse.com
Crimson Ridge,#1 Crimson Ridge Drive,Rockford,IL,61107,,,www.crimsonflowers.net
Crouse Hospital Gift Shop,736 Irving Avenue,Syracuse,NY,13210,,,www.crouse.org
Cullman Florist,111a 1st St. NE,Cullman,AL,35055,,,www.cullmanflorist.com
Culvers,1682 Dubuque Road,Marion,IA,52302,,,www.culverlandscape.com
Cuttings,524 Locust Place,Sewickley,PA,15143,,,www.shopcuttings.com
Davis & Blevins,108 S. Main Street,Saint Jo,TX,76265,,,www.sjmainstreetgallery.com
Distinctive Gardens,1531 Telegraph Rd,West Chester,PA,19380,,,www.distinctivegarden.com
Dundee,1688 Highway 55,Plymouth,MN,55446,,,www.dundeenursery.com
Echter's Nursery,5150 Garrison St.,Arvada,CO,80002,,,www.echters.com
ETC for the home,3333 South Walnut St.,Bloomington,IN,47401,,,www.etcforthehome.com
