Customer,Street1,City,State,Zip,Latitude,Longitude,Website
Alta Florist & Greenhouse,935 South Home Road,Mansfield,OH,44906,40.766056,-82.56749,www.altagreenhouse.com
Artco Crafts,5401-401 6th Avenue,Tacoma,WA,98406,47.26302,-122.49518,www.artcocrafts.com
Blue Point Grille,700 W Saint Clair Ave,Cleveland,OH,44113,41.484688,-81.70125,www.bluepointegrill.com
Blumz by JR Designs,503 E. Nine Mile Road,Ferndale,MI,48220,42.460986,-83.13398,www.blumz.com
Breezy Hill Nursery,7530 288th Avenue,Salem,WI,53168,42.573081,-88.12444,www.breezyhillnursery.com
Burritt on the Mountain,3101 Burritt Drive,Huntsville,AL,35801,34.72879,-86.57316,www.burrittonthemountain.com
Caniche,200 South Main Street,Salisbury,NC,28144,35.679639,-80.46645,www.shopcaniche.com
Celebrate the Season,61430 Brosterhous Rd.,Bend,OR,97702,44.020483,-121.30891,www.celebratetheseasonbend.com
Chips Wine Market,2200 North Croatan Hwy Unit D,Kill Devil Hills,NC,27948,36.022242,-75.67686,www.chipswinemarket.com
Christian Gifts & More,1425 Cowsill Drive,Severin,MD,21144,39.130224,-76.69142,
Circare,23024 Greater Mack,St. Clair Shores,MI,48080,42.462036,-82.90232,www.circaregifts.com
Cork & Cask,8318 State Hwy 23W,St. Cloud,MN,56301,45.526066,-94.20649,www.corkandcask.com
Country Floral,1111 2nd Avenue W,Wiliston,ND,58801,48.20496,-103.71908,www.countryfloralgreenhouse.com
Crimson Ridge,#1 Crimson Ridge Drive,Rockford,IL,61107,42.280019,-89.03347,www.crimsonflowers.net
Crouse Hospital Gift Shop,736 Irving Avenue,Syracuse,NY,13210,43.037166,-76.12653,www.crouse.org
Cullman Florist,111a 1st St. NE,Cullman,AL,35055,34.167893,-86.82506,www.cullmanflorist.com
Culvers,1682 Dubuque Road,Marion,IA,52302,42.042648,-91.58262,www.culverlandscape.com
Cuttings,524 Locust Place,Sewickley,PA,15143,40.561091,-80.15554,www.shopcuttings.com
Davis & Blevins,108 S. Main Street,Saint Jo,TX,76265,33.701692,-97.53029,www.sjmainstreetgallery.com
Distinctive Gardens,1531 Telegraph Rd,West Chester,PA,19380,39.983108,-75.59332,www.distinctivegarden.com
Dundee,1688 Highway 55,Plymouth,MN,55446,45.039312,-93.47988,www.dundeenursery.com
Echter's Nursery,5150 Garrison St.,Arvada,CO,80002,39.795006,-105.0981,www.echters.com
ETC for the home,3333 South Walnut St.,Bloomington,IN,47401,39.131576,-86.49743,www.etcforthehome.com
Floral Expressions & Gifts,26 Main Street,Oswego,IL,60543,41.684896,-88.34177,www.floralexpressionsandgifts.com
Flowerama,6311 East Main Street,Reynoldsburg,OH,43068,39.956384,-82.7961,www.floweramacolumbus.com
Frankenmuth Florist,320 S. Franklin,Frankenmuth,MI,48734,43.340413,-83.74123,www.frankenmuthfloristandgifts.com
Fresh Floral,27 East Main Street,Springville,NY,14141,42.516248,-78.68944,www.freshfloralandgifts.com
Froehlich's,26 North Elm Street,Three Oaks,MI,49128,41.820452,-86.61984,www.shopfroehlichs.com
Garden Safari & Gifts,1225 Estabrook Drive,St. Paul,MN,55103,44.964115,-93.12261,www.comofriends.org
Gardener's Supply Company,128 Intervale Road,Burlington,VA,05401,44.484038,-73.22126,www.gardeners.com
Gardens of Babylon,705B Fort Negley Ct.,Nashville,TN,37203,36.152607,-86.78927,www.gardensofbabylon.com
Goodthings Inc,2184 4th Street,White Bear Lake,MN,55110,45.081266,-93.01146,www.facebook.com/GoodthingsMN/about
Green with Envy,1111 Central Avenue # 200,Charlotte,NC,28204,35.214693,-80.82665,www.envycharlotte.com
